FirstName,LastName,GenderAsString,CantonName,PartyName,DateNationalCouncilJoining,DateNationalCouncilLeaving,DateStateCouncilJoining,DateStateCouncilLeaving,DateFederalCouncilJoining,DateFederalCouncilLeaving
Roger,Bonvin,m,Wallis,Konservativ-christlichsoziale Volkspartei der Schweiz,12/5/1955,9/27/1962,,,9/27/1962,12/31/1973
Rudolf,Friedrich,m,Zürich,Freisinnig-Demokratische Partei der Schweiz,12/1/1975,12/8/1982,,,12/8/1982,10/20/1984
Rudolf,Gnägi,m,Bern,"Bauern-, Gewerbe- und Bürgerpartei",9/14/1953,12/8/1965,,,12/8/1965,12/31/1979
Rudolf,Minger,m,Bern,"Bauern-, Gewerbe- und Bürgerpartei",12/1/1919,12/12/1929,,,12/12/1929,12/31/1940
Ruth,Dreifuss,f,Genf,Sozialdemokratische Partei der Schweiz,,,,,3/10/1993,12/31/2002
Ruth,Metzler-Arnold,f,Appenzell I.-Rh.,Christlichdemokratische Volkspartei der Schweiz,,,,,3/11/1999,12/31/2003
Samuel,Schmid,m,Bern,Schweizerische Volkspartei,9/19/1994,12/5/1999,12/6/1999,12/6/2000,12/6/2000,12/31/2008
Simeon,Bavier,m,Graubünden,Liberale,12/7/1863,12/1/1878,,,12/10/1878,1/5/1883
Simonetta,Sommaruga,f,Bern,Sozialdemokratische Partei der Schweiz,12/6/1999,11/30/2003,12/1/2003,10/31/2010,9/22/2010,
Stefano,Franscini,m,Schaffhausen,Freisinnig-Demokratische Partei der Schweiz,11/6/1848,3/1/1855,,,11/16/1848,7/19/1857
Thomas,Holenstein,m,St. Gallen,Konservative,12/1/1902,12/1/1954,,,12/16/1954,12/31/1959
Ueli,Maurer,m,Zürich,Schweizerische Volkspartei,11/25/1991,12/31/2008,,,12/10/2008,
Ulrich J.,Ochsenbein,m,Bern,Freisinnig-Demokratische Partei der Schweiz,11/6/1848,11/16/1848,,,11/16/1848,12/31/1854
Victor Eugène,Borel,m,Neuenburg,Freisinnig-Demokratische Partei der Schweiz,,,7/3/1865,12/1/1872,12/7/1872,12/31/1875
Victor-Ch.-F.,Ruffy,m,Waadt,Freisinnig-Demokratische Partei der Schweiz,7/5/1858,12/1/1867,,,12/6/1867,12/29/1869
Walter,Hauser,m,Zürich,Demokraten,12/6/1869,12/5/1875,12/1/1879,12/1/1888,12/13/1888,10/22/1902
Walter,Stampfli,m,Solothurn,Freisinnig-Demokratische Partei der Schweiz,12/1/1931,7/18/1940,,,7/18/1940,12/31/1947
Wilhelm Matthias,Näff,m,St. Gallen,Freisinnig-Demokratische Partei der Schweiz,,,11/6/1848,11/16/1848,11/16/1848,12/31/1875
Willi,Ritschard,m,Solothurn,Sozialdemokratische Partei der Schweiz,12/5/1955,12/1/1963,,,12/5/1973,10/16/1983
Willy,Spühler,m,Zürich,Sozialdemokratische Partei der Schweiz,12/13/1938,12/4/1955,12/5/1955,12/17/1959,12/17/1959,1/31/1970
